CDARAP|UMISAP|ALIVAP|DSARAP|DSALAP|CISOAP|PRZ1AP|PRZ2AP|PRZ3AP|PRZ4AP|STREAP
RUC|KG|04|RUCOLA IN SCHALEN|RUCOLA IN VASCHETTA|IT|9.80|9.80|9.80||1|
RUCPL|KG|04|RUCOLA LOSE|RUCOLA RINFUSA|IT|9.80|9.80|||1|
RVAR|KG|04|RADICCHIO VARIEGATO|RADICCHIO VARIEGATO|IT|2.50|2.50|2.50||1|
RZW|KG|04|ZWIEBELN ROT|CIPOLLE ROSSE|IT|1.80|2.00|2.00||1|
RZWZOPF|KG|04|ROTE ZWIEBELN IN ZOP|CIPOLLE ROSSE IN TRE|IT|3.30|3.40|3.60||1|
SAIT|KG|04|KRÄUTERSAITLINGE|CARDARELLI|EC|14.00|14.00|14.00||1|
SAKURA|NR|04|SAKURA KRESSE|CRESCIONE SAKURA|NL|18.80|18.80|18.80||1|
SALB|KG|05|SALBEI|SALVIA|IT|10.00|10.00|10.00||1|
SALI|NR|04|SALICORNIA|SALICORNIA|EC|16.00|16.00|16.00||1|
SC|KG|04|SCHALOTTEN|CIPOLLE SCALOGNA|IT|4.00|4.00|4.00||1|
SCARLET|NR|04|SCARLET KRESSE|CRESCIONE SCARLET|NL|14.00|14.00|14.00||1|
SCHBEC|KG|04|SCHWARZBEEREN|MIRTILLI NERI|EC|20.00|20.00|20.00||1|
SCHGUES|KG|04|SCHLANGENGURKEN|CETRIOLI LUNGHI|ES|4.90|4.90|4.90||1|
SCHNEC|KG|04|SCHNITTLAUCH|ERBA CIPOLLINA|EC|21.30|21.50|21.30||1|
SCHSA|KG|04|SCHNITTSALAT IN SCHA|INSALATINA IN VASCHE|IT|12.00|12.00|12.00||1|
SCHSAPL|KG|04|SCHNITTSALAT LOSE|INSALATINA RINFUSA|IT|10.50|10.50|10.50||1|
SCHWU|KG|04|SCHWARZWURZELN|RADICI NERE|DE|6.00|6.00|6.00||1|
SEL|KG|04|SELLERIE|SEDANO|IT|2.80|2.80|2.80||1|
SELKNL|KG|04|SELLERIEKNOLLEN|TESTE DI SEDANO|NL|1.40|1.40|1.40||1|
SELW|KG|04|SELLERIE WEISS|SEDANO BIANCO|IT|3.30|3.30|3.30||1|
SHI|KG|04|PILZE SHII TAKE|FUNGHI SHII TAKE|DE|20.00|20.00|20.00||1|
SHISO|NR|04|SHISO MIX|SHISO MIX|NL|15.80|15.80|15.80||1|
SKR|KG|10|SAUERKRAUT LECHNER|CRAUTI LECHNER|IT|2.00|2.00|2.00||1|
SOIASPR|KG|04|SOJASPROSSEN|GERMOGLI DI SOJA|IT|10.50|10.50|10.50||1|
SOLO|KG|04|KNOBLAUCH SOLO|AGLIO SOLO|NL|12.00|12.00|12.00||1|
SPAGRMX|KG|04|SPARGEL GRÜN|ASPARAGI VERDI|MX|15.00|15.00|15.00||1|
SPAWPE|KG|04|SPARGEL WEISS|ASPARAGI BIANCHI|PE|15.00|15.00|15.00||1|
SPI|KG|04|SPINAT|SPINACI|IT|4.00|4.50|4.00||1|
SPITZ|KG|04|KOBIS SPITZ|CAPPUCCI|IT|1.60|1.60|1.60||1|
SPR|KG|04|SPROSSENKOHL|CAVOLINI BRUXELLES|IT|6.00|6.00|6.00||1|
SUL|KG|04|SULTANINEN|UVA SULTANINA|IT|6.50|6.50|6.50||1|
TACLE|KG|04|TACLE|TACLE|IT|3.30|3.30|3.30||1|
TEGEC|KG|04|BOHNEN TEGHE|TEGHE|EC|5.50|5.50|5.50||1|
THAINR|NR|04|SPARGEL THAI|ASPARAGI THAI|EC|3.80|3.80|3.80||1|
THYKE|KG|10|THYMIAN|TIMO|KE|20.00|20.00|20.00||1|
TOCUO|KG|04|TOMATEN OCHSENHERZ|CUORE DI BUE|IT|4.00|4.00|4.00||1|
TODAT|KG|04|TOMATEN DATTERINI|POMODORI DATTERINI|IT|5.20|5.20|5.20||1|
TODATGE|KG|04|TOMATEN DATTERINI GE|POMODORI DATTERINI G|IT|7.50|7.50|7.50||1|
TOMER|KG|04|TOMATEN MERINDA|POMODORI MERINDA|IT|5.50|5.50|5.50||1|
TOP|KG|10|TOPINAMBOUR|TOPINAMBOUR|IT|3.30|3.30|3.80||1|
TOPAP|KG|04|TOMATEN PAPRIKA|POMODORO CUBELLO|NL|5.50|5.50|||1|
TOPIC|KG|04|TOMATEN PICCADILLY|POMODORI PICCADILLY|IT|4.20|4.20|4.20||1|
TOR|KG|04|ORANGEN TAROCCO|ARANCE TAROCCO|IT|2.50|2.50|2.50||1|
TORS|KG|04|ORANGEN TAROCCO SAFT|ARANCE TAROCCO SPREM|IT|1.40|1.40|1.40||1|
TV|KG|04|RADICCHIO TREVISANO|RADICCHIO TREVISANO|IT|2.80|2.80|2.80||1|
TVEX|KG|04|RADICCHIO TREVISANO|RADICCHIO TREVISANO|IT|8.50|9.00|8.50||1|
UOR|KG|04|ORANGEN LAUB|ARANCE FOGLIA|IT|2.50|2.50|2.50||1|
UZI|KG|04|ZITRONEN LAUB|LIMONI FOGLIA|IT|2.60|2.60|2.60||1|
VENE|NR|04|VENE KRESSE|VENE CRESS|NL|21.50|21.80|21.50||1|
VOG|KG|04|FELDSALAT IN SCHALEN|VALERIANA IN VASCHET|IT|11.50|11.50|11.00||1|
VR|KG|04|RADICCHIO VERONA|RADICCHIO VERONA|IT|3.30|3.30|3.30||1|
WHAT|NR|04|WHATZNEW KRESSE|CRESCIONE WHATZ NEW|NL|18.00|18.00|18.00||1|
WHEAT|NR|04|WHEAT GRASS|WHEAT GRASS|NL|14.50|14.50|14.50||1|
WI|KG|04|WIRSING|VERZE|IT|1.80|2.00|1.80||1|
WIL|KG|04|BIRNEN WILLIAMS|PERE WILLIAMS|IT|2.80|2.80|2.80||1|
WKR|KG|04|KOBIS|CAPPUCCI BIANCHI|IT|1.40|1.40|1.30||1|
WSCHB|KG|04|WALDSCHWARZBEREREN|MIRTILLO DI BOSCO|IT|17.00|18.00|||1|
WZW|KG|04|ZWIEBELN WEISS|CIPOLLE BIANCHE|IT|2.00|2.00|2.00||1|
YKA|NR|04|YKA LEAVES|YKA LEAVES|NL|18.00|18.00|18.00||1|
ZI|KG|04|ZITRONEN|LIMONI|IT|2.40|2.40|2.40||1|
ZIGRAS|KG|04|ZITRONENGRAS|LIMONELLA|EC|18.00|18.00|16.00||1|
ZORRI|NR|04|KRESSE ZORRI|CRESCIONE ZORRI|NL|19.00|19.00|19.00||1|
ZPET|KG|04|ZIERPETERSIL|PREZZEMOLO RICCIO|IT|6.50|6.50|6.50||1|
ZU|KG|04|ZUCCHINI|ZUCCHINE|IT|4.80|4.80|4.80||1|
ZUBLUNR|NR|04|ZUCCHINIBLÜTEN|FIORI DI ZUCCHINE|IT|2.30|2.30|2.30||1|
ZUGE|KG|04|ZUCCHINI GELB|ZUCCHINE GIALLE|IT|6.00|6.00|6.00||1|
ZUGESCH|KG|04|ZUCCHINI GESCHNITTEN|ZUCCHINE TAGLIATE|IT|2.60||||1|
ZURU|KG|04|ZUCCHINI RUND|ZUCCHINE TONDE|IT|4.80|4.80|4.80||1|
ZW|KG|04|ZWIEBELN GELB|CIPOLLE GIALLE|IT|1.30|1.30|1.30||1|
ZWDE|KG|04|ZWIEBEL GELB|CIPOLLE GIALLE|DE|.85|.85|.85||1|
